CustomerID,NRIC,Name,Gender,Address,Region,Age,,,,,
1000001,S7809563U,Khoo Poh Choon,Female,"Tampines,Ave2,BLK7,#17-902",East,50,,,,,
1000002,S8127215V,Chong Poh Lian,Male,"Pasir Ris,Ave5,BLK5,#5-1289",East,32,,,,,
1000003,S4927531F,Ho Fook Xiao,Female,"Sembawang,Ave3,BLK5,#5-857",North,43,,,,,
1000004,S5538273T,Yeo Xiao Kuan,Female,"Bukit Merah,Ave4,BLK3,#4-935",Central,66,,,,,
1000005,S4800518V,Tay Kuan Fatt,Female,"Woodlands,Ave5,BLK5,#17-1020",North,28,,,,,
1000006,S5443202G,Ng Lay Yue,Male,"Bedok,Ave7,BLK3,#13-838",East,56,,,,,
1000007,S7320890Z,Wong Yue Gim,Male,"Lim Chu Kang,Ave1,BLK10,#14-1061",North,27,,,,,
1000008,S5238618Y,Ang Seng Mun,Male,"Sembawang,Ave9,BLK2,#8-1953",North,22,,,,,
1000009,S5086739H,Ang Choon Kek,Male,"Boon Lay,Ave3,BLK6,#14-658",West,84,,,,,
1000010,S5697491U,Goh Lian Sun,Female,"Pasir Ris,Ave9,BLK9,#7-1048",East,24,,,,,
1000011,S7400435J,Fong Fook Yue,Female,"Pasir Ris,Ave2,BLK6,#14-302",East,18,,,,,
1000012,S8045371Y,Neo Hoong Hock,Female,"Bukit Panjang,Ave1,BLK6,#5-926",West,23,,,,,
1000013,S6630460Q,Khoo Chun Yew,Male,"Clementi,Ave3,BLK3,#8-1473",West,75,,,,,
1000014,S4791807F,Lee Mun Lian,Female,"Boon Lay,Ave8,BLK2,#12-1755",West,78,,,,,
1000015,S6334773O,Lee Kuan Wei,Female,"Changi,Ave9,BLK8,#12-181",East,86,,,,,
1000016,S6695830T,Chua Kuan Mei,Female,"Bukit Timah,Ave1,BLK1,#8-343",Central,34,,,,,
1000017,S6749509C,Ho Mun Kah,Male,"Clementi,Ave5,BLK6,#15-1837",West,63,,,,,
1000018,S5102427R,Yap Hoong Hock,Female,"Pasir Ris,Ave4,BLK7,#19-417",East,55,,,,,
1000019,S6679310I,Wong Kah Eng,Female,"Bukit Batok,Ave10,BLK6,#15-1988",West,79,,,,,
1000020,S7433282P,Wong Meng Wah,Male,"Hougang,Ave3,BLK7,#9-1369",Northeast,41,,,,,
1000021,S6623210L,Teng Fatt How,Female,"Yishun,Ave10,BLK8,#10-375",North,34,,,,,
1000022,S5657785Q,Fong Mun How,Female,"Punggol,Ave9,BLK9,#16-132",Northeast,54,,,,,
1000023,S6501588Z,Pang Yew Fook,Female,"Lim Chu Kang,Ave4,BLK2,#5-425",North,70,,,,,
1000024,S7801033S,Lee Choon Mun,Female,"Yishun,Ave4,BLK8,#17-567",North,82,,,,,
1000025,S4837017X,Tan Kah Mei,Male,"Lim Chu Kang,Ave6,BLK2,#15-1450",North,79,,,,,
1000026,S7246799A,Chen Choon Beng,Female,"Clementi,Ave6,BLK2,#16-853",West,13,,,,,
1000027,S7819450T,Fong Sun Hock,Female,"Choa Chu Kang,Ave10,BLK4,#16-1069",West,14,,,,,
1000028,S6182008U,Tan Tee Meng,Male,"Choa Chu Kang,Ave3,BLK6,#16-1305",West,34,,,,,
1000029,S8328124K,Chang Sun Fatt,Female,"Bishan,Ave10,BLK2,#13-401",Central,7,,,,,
1000030,S7879062X,Loh Kuan Wai,Female,"Sengkang,Ave4,BLK10,#4-541",Northeast,70,,,,,
1000031,S6394134S,Chan Choon Hock,Male,"Jurong,Ave2,BLK4,#14-888",West,29,,,,,
1000032,S5300375F,Yap Chee Seng,Male,"Tampines,Ave8,BLK8,#2-1722",East,22,,,,,
1000033,S4853971F,Ho Mun Meng,Female,"Bukit Panjang,Ave10,BLK5,#2-1799",West,83,,,,,
1000034,S7807595T,Ang Eng Yee,Male,"Changi,Ave4,BLK1,#3-1837",East,12,,,,,
1000035,S8477870V,Tan Seng Chee,Female,"Woodlands,Ave5,BLK9,#14-391",North,37,,,,,
1000036,S7032886O,Yong Wei Wah,Male,"Ang Mo Kio,Ave6,BLK5,#6-838",Northeast,68,,,,,
1000037,S7065542L,Ng Choon Seng,Male,"Pasir Ris,Ave9,BLK10,#4-690",East,78,,,,,
1000038,S5880749G,Chen Wai Lan,Male,"Lim Chu Kang,Ave10,BLK10,#3-1694",North,55,,,,,
1000039,S6936134P,Chen How Poh,Male,"Bukit Panjang,Ave1,BLK6,#11-1348",West,14,,,,,
1000040,S8364796Z,Chen Yue Chee,Male,"Yishun,Ave2,BLK5,#14-1063",North,38,,,,,
1000041,S6761428M,Lau Wah Hoong,Female,"Ang Mo Kio,Ave5,BLK8,#17-1000",Northeast,10,,,,,
1000042,S8355021B,Loh Mun Wai,Female,"Ang Mo Kio,Ave6,BLK4,#12-1837",Northeast,28,,,,,
